customer_id,age,gender,location,monthly_income,monthly_emi_outflow,current_outstanding,credit_utilization_ratio,num_open_loans,repayment_history_score,dpd_last_3_months,num_hard_inquiries_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,total_credit_limit,months_since_last_default,target_credit_score_movement
1,39,Male,Semi-Urban,37960.91,15102.3,237947.63,0.66,5,71.68,1,0,58789.72,147061.87,480349.24,23,stable
2,33,Female,Urban,97982.6,38453.99,734534.97,0.7,4,43.36,0,3,2874.54,455301.88,799049.0,10,stable
3,41,Male,Semi-Urban,72757.31,17259.65,102888.54,0.98,3,97.79,2,0,87967.9,180375.33,145336.22,3,increase
4,50,Male,Rural,46591.58,22157.16,197129.05,0.39,5,68.24,3,0,47122.19,167716.44,172741.41,56,stable
5,32,Male,Semi-Urban,30893.97,6813.03,81831.67,0.42,3,82.94,1,0,38802.13,88811.09,945603.45,52,increase
6,32,Female,Urban,42682.55,10995.21,100092.26,0.57,0,9.98,0,0,11592.06,211316.31,951642.98,2,stable
7,50,Female,Rural,44051.26,20167.17,305451.72,0.37,1,49.99,2,1,33082.6,262260.81,154166.61,42,stable
8,42,Female,Urban,58420.67,15569.18,77639.34,0.07,2,60.23,1,2,67865.5,421631.96,307721.69,3,stable
9,30,Male,Urban,36405.55,13771.97,262172.65,0.53,3,1.55,4,1,44566.11,496334.78,503589.56,40,stable
10,40,Female,Rural,49398.78,33107.8,290814.58,0.05,4,31.08,1,1,89246.27,268650.64,520177.65,52,stable
11,30,Female,Urban,60423.65,27603.6,509756.22,0.5,3,1.19,1,3,63663.27,344474.93,858816.57,9,stable
12,30,Male,Urban,35436.06,19508.54,375335.45,0.08,1,55.78,4,2,46505.48,134154.83,77396.1,46,stable
13,37,Male,Rural,48076.96,25085.6,138897.0,0.81,2,57.64,2,0,36075.89,98920.05,204132.4,38,stable
14,18,Female,Urban,37971.37,25503.73,310039.0,0.27,2,38.71,1,1,71208.3,17214.63,828537.69,30,stable
